Id,Mean Orientation phi1,Mean Orientation PHI,Mean Orientation phi2
1,177.76,12.31,10.41
2,315.57,34.87,33.09
3,249.09,44.53,71.13
4,181.77,47.87,32.12
5,138.3,23.39,24.93
6,324.38,43.13,40.81
7,293.82,12.61,34.76
8,160.81,8.39,2.79
9,358.67,47.8,50.4
10,331.98,34.56,52.17
11,234.86,51.8,40.57
12,287.78,49.06,45.33
13,278.11,29.19,85.9
14,236.21,52.01,44.19
15,115.66,42.8,54.69
16,92.91,25.27,7.77
18,28.91,50.82,50.95
19,131.13,49.95,52.34
20,229.24,14.61,38.73
21,305.48,43.37,36.81
22,322.92,50.14,46.24
23,85.24,48.41,54.97
24,111.08,25.57,63.84
25,41.2,44.71,53.15
26,238.18,24.55,65.57
27,271.43,28.93,41.83
28,268.47,41.3,60.6
29,215.49,52.07,49.54
31,265.35,30.82,34.91
32,95.14,23.1,74.59
33,263.27,34.62,39.58
34,334.23,50,55.02
35,88.93,33.33,0.88
36,98.83,41.26,33.79
37,276.83,34.23,88.62
40,93.62,23.42,76.3
41,102.56,22.93,82.25
42,180.53,50.82,39.61
44,92.92,23.37,76.93
49,110.18,11.56,5.72
52,314.86,45.87,34.66
53,294.68,32,25.38
54,228.84,9.01,64.38
55,110,32.46,66.91
57,101.56,32.12,63.46
62,143.2,17.26,83.93
63,308.46,42.54,36.81
65,311.31,48.61,37.7
66,96.39,32,74.59
68,305.63,14.09,6.61
69,56.99,8.17,33.4
70,200.9,45.8,63.84
71,115.16,48.92,50.61
72,210.33,50.43,48.09
74,331.36,42.54,37.74
75,35.71,24.1,48.83
76,183.87,38.24,32.36
77,40.26,39.48,54.61
78,112.39,42.98,85.83
79,272.11,33.58,3.25
80,15.2,43.78,67.95
82,252.64,32.66,4.74
83,66.17,18.56,30.31
88,20.5,29.81,71.77
89,122.01,50.64,44.6
91,246.83,18.23,42.6
97,112.85,52.78,41.04
98,285.73,45.21,48.08
99,308.41,14.11,37.54
100,90.82,27.4,81.9
101,292.3,44.6,50.86
102,306.95,28.19,29.72
103,224.27,24.9,39.76
104,271.27,38.12,59.9
105,299.98,8.5,59.9
106,32.49,6.39,66.07
107,297.4,14.82,21.72
109,15.14,15.75,72.18
111,333.26,42.27,44.47
112,233.1,23.15,63.04
114,82.06,51.62,44.54
116,284.61,10.02,84.78
119,77.59,31.14,5.04
124,165.62,35.41,8.89
126,312.43,47.42,29.97
128,76.98,32.46,47.5
129,219.56,22.88,0.37
130,99.55,17.02,73.99
131,258.54,13.49,33.37
132,75.8,46.59,33.85
133,54.98,23.99,26.84
134,230.21,31.98,54.27
138,33.99,44.78,48.38
141,57.16,35.88,67.25
142,106.86,29.23,53.26
144,273.2,40.66,10.93
151,313.51,47.9,39.97
158,127.89,29.99,25.49
159,320.46,5.83,25.68
161,116.83,46.78,29.48
165,265.73,49.27,48.14
167,108.72,38.41,41.7
168,283.66,26.81,70.85
169,107.59,46.73,68.83
171,86.54,12.92,3.05
174,126.25,44.37,39.76
175,284.39,34.51,83.75
176,266.93,37.69,86.3
183,29.89,38.62,67.29
186,206.72,14.58,66.59
189,87.44,41.8,12.22
190,264.67,21.08,88.35
194,231.95,37.25,37.77
196,158.24,51.65,41.37
200,72.36,44.83,9.43
202,109,41.71,75.24
205,215.35,44.99,54.53
206,123.7,35.17,29.93
209,250.94,12.07,70.96
210,335.07,19.2,17.19
220,301.82,33.84,69.51
221,108.31,1.01,35.07
225,295.41,39.97,66.04
226,263.71,49.49,56.23
227,30.21,29.19,67.26
228,242.93,38.66,54.18
229,213.91,29.35,55.88
231,57.44,45.36,34.85
233,241.62,38.31,43.03
235,322.86,40.61,28.7
238,201.48,46.99,60.94
239,165.17,46.07,37.44
240,205.32,8.68,6.6
241,124.9,22.47,31.21
243,126.46,38.06,37.16
244,351.07,48.77,58.54
245,88.46,7.29,87.59
246,256.05,27.72,64.45
247,255.95,22.66,25.39
248,172.48,33.75,20.59
249,196.15,34.89,55.73
250,103.91,30.79,42.87
251,56,20.74,22.76
252,260.99,20.37,5.76
253,287.59,19.33,85.56
255,92.29,41.84,77.83
256,97.05,42.26,53.74
